entity_id,name,hq,n_assets,lei,cik
E100000001198,Edison International Corp,United States,7,549300I7ROF15MAEVP56,827052
E100000000360,Fortum Oyj,Finland,7,635400IUIZZIUJSAMF76,
E100000132450,Packaging Corporation of America ,United States,7,549300XZP8MFZFY8TJ84,75677
E100001000232,Mercer International Inc,United States,7,549300Z5IAG39VRTY874,1333274
E100000000459,Volkswagen AG,Germany,7,529900NNUPAGGOMPXZ31,
E100000001177,CenterPoint Energy Inc,United States,7,21TPXMRRHFKOBHDC8J74,1130310
E100000001651,SSAB AB,Sweden,7,529900329VS14ZIML164,
E100000001713,The Navigator Co,Portugal,7,549300UNIB7M2AXUXS35,
E100000000436,Siemens AG,Germany,7,W38RGI023J3WT1HWRP32,
E100000000473,HELLENiQ ENERGY Holdings SA,Greece,7,213800YUBJMZYR1SNG35,
E100000001132,Air Products and Chemicals Inc,United States,7,7QEON6Y1RL5XR3R1W237,2969
E100002005093,Cementir Holding NV,Netherlands,7,8156008B101B97A43B02,
E100002006131,Eagle Materials Inc,United States,7,529900KRXRGXL61SG039,918646
E100000002169,ALLETE Inc,United States,7,549300NNLSIMY6Z8OT86,66756
E100000001104,Drax Group PLC,United Kingdom,7,549300YPSNTXR4ZHSR98,
E100000002305,Portland General Electric Co,United States,7,GJOUP9M7C39GLSK9R870,784977
E100000000838,Semapa - Sociedade de Investimento e Gestão SGPS SA,Portugal,7,549300HNGOW85KIOH584,
E100001016064,Cheniere Energy Partners LP,United States,6,5493005UEC8AZ34LDV29,1383650
E100001000155,Evonik Industries AG,Germany,6,41GUOJQTALQHLF39XJ34,
E100002021926,City of Vienna ,Austria,6,529900LTE68PDZBBU805,
E100001015934,Redes Energéticas Nacionais SGPS SA,Portugal,6,549300FR1FN48IGHR915,
E100002002718,Vontobel Holding AG,Switzerland,6,529900G69W5VR3DDPW23,
E100000001186,Consolidated Edison Inc,United States,6,54930033SBW53OO8T749,1047862
E100000001268,NiSource Inc,United States,6,549300D8GOWWH0SJB189,1111711
E100001011576,Clariant AG,Switzerland,6,529900VSEKBY7TMPP349,
E100000000620,Iren SpA,Italy,6,8156001EBD33FD474E60,
E100000000021,EVN AG,Austria,6,529900P4JZBFEVNEAE60,
E100000001277,PNM Resources Inc,United States,6,5493003JOBJGLZSDDQ28,735250
E100002000151,Kemira Oyj,Finland,6,74370031Y7RK5H88CQ48,
E100001010336,Steel Dynamics Inc,United States,6,549300HGGKEL4FYTTQ83,1022671
E100001000054,Metsä Board Oyj,Finland,6,743700KKB8Q035K38488,
E100000000619,Hera SpA,Italy,6,8156009414FD99443B48,
E100001000636,Alcoa Corp,United States,5,549300T12EZ1F6PWWU29,1675149
E100000132404,Clearwater Paper Corp,United States,5,549300HCVV19GXN4P292,1441236
E100000000475,Metlen Energy & Metals SA,Greece,5,213800KT8MEUJEJ2KW41,
E100002024593,Braunschweig Beteiligungen GmbH,Germany,5,529900LBFWIZP20KCC34,
E100001014430,Cheniere Energy Inc,United States,5,MIHC87W9WTYSYZWV1J40,3570
E100000001321,Valero Energy Corp,United States,5,549300XTO5VR8SKV1V74,
E100000001169,California Resources Corp,United States,5,5493003Q8F0T4F4YMR48,1609253
E100001014542,DT Midstream Inc,United States,5,,1842022
E100000136992,Deutsche Bank AG,Germany,5,7LTWFZYICNSX8D621K86,
E100000001220,FreePort-McMoran Inc,United States,5,549300IRDTHJQ1PVET45,831259
E100001014129,APA Corp,United States,5,549300VCIWLRHYVSHC79,1841666
E100000002180,Avista Corp,United States,5,Q0IK63NITJD6RJ47SW96,104918
E100001010299,Nacco Industries Inc,United States,5,,789933
E100002000031,Dow Inc,United States,5,5493003S21INSLK2IP73,1751788
E100000000472,"GEK TERNA Holdings, Real Estate, Construction SA",Greece,5,2138003TO2MTRHWVP686,
E100001010324,Vallourec SA,France,5,969500P2Q1B47H4MCJ34,
E100001001053,FirstEnergy Corp,United States,5,549300SVYJS666PQJH88,1031296
E100000132862,Rayonier Advanced Materials Inc,United States,4,54930053QJ7OUGZG4F72,1597672
E100001014437,Ithaca Energy PLC,United Kingdom,4,21380057TNFLXPXBIP34,
E100001014651,Enquest PLC,United Kingdom,4,2138008LJU6WFQWOXJ73,
E100002016726,Graphic Packaging Holding Co,United States,4,,1408075
