sector,asset_id,old_top_parent,new_top_parent,immediate_owner_also_changed
Bioenergy Power,G100000200310,E100001000412|E100001015587|E100002003551|E100002003552|E100002003553,E100000135826|E100001000348|E100001000412|E100001010595|E100001015587|E100001015833|E100002003551|E100002003552|E100002003553,False
Bioenergy Power,G100000200657,E100001011048,E100000000104|E100001015587|E100002001399,False
Bioenergy Power,G100000200546,E100002000809,E100000123261|E100002000809,False
Bioenergy Power,G100000201661,E100000001241|E100001000348|E100001010595|E100001010596|E100001015587|E100001015644|E100001015833|E100002000188,E100000001241|E100001000348|E100001000901|E100001010595|E100001010596|E100001010706|E100001010707|E100001014543|E100001015587|E100001015833|E100001016645|E100002000188|E100002001974,False
Bioenergy Power,G100000201659,E100002000601,E100000123261|E100002000600,True
Bioenergy Power,G100000201599,E100001001078|E100001011030,E100001000085|E100001000348|E100001010595|E100001011030|E100001015587|E100001015833|E100002003009,False
Bioenergy Power,G100000200495,E100002001393,E100000000746|E100000123261|E100000188761|E100001000348|E100001010595|E100001015587|E100001015833|E100002001393|E100002021795|E100002022373,False
Bioenergy Power,G100000200597,E100000001096|E100001000348|E100001000615|E100001010595|E100001015587|E100001015833|E100002007660,E100000001096|E100000132388|E100001000348|E100001000615|E100001010595|E100001015587|E100001015833|E100002007660,False
Bioenergy Power,G100000200178,E100000000273|E100000132388|E100001000086|E100001000514,E100000000273|E100000132388|E100001000086|E100001000514|E100001014866,False
Bioenergy Power,G100000200504,E100000000079|E100000132758|E100001000311|E100001000312|E100001000313|E100001000314|E100001000901|E100001010707|E100001015587|E100002001057,E100000000079|E100000123261|E100001000311|E100001000312|E100001000313|E100001000901|E100001010707|E100001015587|E100002001057|E100002001974,False
Bioenergy Power,G100000201640,E100000002169|E100001015587|E100001015832|E100001015833,E100000001226|E100000002169|E100001000089|E100001000348|E100001010595|E100001014359|E100001015587|E100001015833|E100002015950,False
Bioenergy Power,G100000202242,E100000000252|E100000124453|E100000124585|E100000125551|E100000125675,E100000000252|E100000124453|E100000124585|E100000125551|E100000125675|E100000132388,True
Bioenergy Power,G100000201852,E100000000273|E100000132388|E100001000086|E100001000514,E100000000273|E100000132388|E100001000086|E100001000514|E100001014866,False
Bioenergy Power,G100000201604,E100000132450|E100001000348|E100001010595|E100001010596|E100001015587|E100001015644|E100001015833,E100000132450|E100001000348|E100001010595|E100001010596|E100001015587|E100001015833,False
Bioenergy Power,G100000200776,E100000001688|E100000132904,E100000001688|E100000123261|E100000132904|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011087|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022203,False
Bioenergy Power,G100000201683,E100000000004|E100000132388|E100001012407|E100002002692|E100002002693,E100000000004|E100001012407|E100001014506|E100002018470,False
Bioenergy Power,G100000201973,E100000125822,E100000125822|E100000132388,True
Bioenergy Power,G100000200769,E100000000639|E100000000888|E100000123261|E100000132388|E100000133542|E100000134222|E100001000178|E100001000179|E100001000198|E100001000289|E100001000290|E100001000291|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498,E100000000639|E100000000888|E100000123261|E100000132388|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000198|E100001000289|E100001000290|E100001000291|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022203,True
Bioenergy Power,G100000200289,E100000001237|E100000123261|E100000133542|E100000134222|E100001000053|E100001000054|E100001000178|E100001000179|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016127|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498,E100000001237|E100000123261|E100000133542|E100000134222|E100000136108|E100001000053|E100001000054|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016127|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022203,False
Bioenergy Power,G100000200682,E100001000044|E100001000045,E100000123261|E100001000044|E100001000045|E100001015587,False
Bioenergy Power,G100000200077,E100000000648|E100000121583|E100000123261|E100000133542|E100000134222|E100001000178|E100001000179|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002003381|E100002003383,E100000000648|E100000121583|E100000123261|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002003381|E100002003383|E100002011285|E100002017201|E100002017203|E100002017204|E100002022203,False
Bioenergy Power,G100000200248,E100000000053|E100000123261|E100001000165|E100001000166|E100001014350|E100001015587,E100000000053|E100000123261|E100000132388|E100001000165|E100001014350|E100001015587,False
Bioenergy Power,G100000201512,E100002002694,E100000123261|E100002025075|E100002025076|E100002025077|E100002025079|E100002025081,False
Bioenergy Power,G100000200034,E100000000630|E100000123261|E100000132867|E100000133542|E100000134222|E100001000178|E100001000179|E100001000382|E100001010931|E100001010932|E100001011617|E100001015587|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498,E100000000630|E100000123261|E100000132867|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001010931|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022091|E100002022203,False
Bioenergy Power,G100000201535,E100001010923,E100000000145|E100001010923,False
Bioenergy Power,G100000201365,E100000001607|E100001010913|E100001010914|E100001015587,E100000000766|E100000001607|E100001000085|E100001010913|E100001010914|E100001015587,False
