entity_id,name,hq,mw_2025_zero,mw_2025_impute,mw_2026_zero,mw_2026_impute
E100002009022,Sonoco Products Co,United States,0.0,0.0,0.0,0.0
E100002009177,HMS Bergbau AG,Germany,0.0,0.0,0.0,0.0
E100001016504,Synthesis Energy Systems Inc,United States,0.0,0.0,0.0,0.0
E100000131392,Bisichi PLC,United Kingdom,0.0,0.0,0.0,0.0
E100002003989,Rana Gruber ASA,Norway,0.0,0.0,0.0,0.0
E100000131012,Metallus Inc,United States,0.0,0.0,0.0,0.0
E100000130755,Leggett & Platt Inc,United States,0.0,0.0,0.0,0.0
E100000130706,Danieli & C Officine Meccaniche SpA,Italy,0.0,0.0,0.0,0.0
E100000000837,Mota-Engil SGPS SA,Portugal,0.0,0.0,0.0,0.0
E100002009511,Rottneros AB,Sweden,0.0,0.0,0.0,0.0
E100002016964,Société Financière Des Sucres SA,Belgium,0.0,0.0,0.0,0.0
E100000133586,Voltalia SA,France,0.0,0.0,0.0,0.0
E100002016804,CropEnergies AG,Germany,0.0,0.0,0.0,0.0
E100002016829,LEG Immobilien SE,Germany,0.0,0.0,0.0,0.0
E100002010547,Séché Environnement SA,France,0.0,0.0,0.0,0.0
E100000135814,Ameresco Inc,United States,0.0,0.0,0.0,0.0
E100000152701,Romande Energie Holding SA,Switzerland,0.0,0.0,0.0,0.0
E100002016729,Webuild SpA,Italy,0.0,0.0,0.0,0.0
E100000132909,Svenska Cellulosa SCA AB,Sweden,0.0,0.0,0.0,0.0
E100002016863,Global Dominion Access SA,Spain,0.0,0.0,0.0,0.0
E100000120754,LANXESS AG,Germany,0.0,0.0,0.0,0.0
E100002017187,OPAL Fuels Inc,United States,0.0,0.0,0.0,0.0
E100002016809,Danone SA,France,0.0,0.0,0.0,0.0
E100002007354,Monarch Cement Co,United States,0.0,0.0,0.0,0.0
