LEI,ISIN,domestic,equity_like,lei,name,hq,n_assets,lookthrough_assets
213800WKOUWXWFJ5Z514,NO0010811995,True,True,213800WKOUWXWFJ5Z514,Yara International ASA,Norway,3,3.0
213800WKOUWXWFJ5Z514,NO0011146383,True,True,213800WKOUWXWFJ5Z514,Yara International ASA,Norway,3,3.0
213800WKOUWXWFJ5Z514,NO0011146391,True,True,213800WKOUWXWFJ5Z514,Yara International ASA,Norway,3,3.0
213800WKOUWXWFJ5Z514,NO0013261057,True,True,213800WKOUWXWFJ5Z514,Yara International ASA,Norway,3,3.0
213800WKOUWXWFJ5Z514,NO0013261065,True,True,213800WKOUWXWFJ5Z514,Yara International ASA,Norway,3,3.0
213800WKOUWXWFJ5Z514,NO0013261081,True,True,213800WKOUWXWFJ5Z514,Yara International ASA,Norway,3,3.0
213800X3Q9LSAKRUWY91,BE0002291608,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002681626,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002766476,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002799808,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002819002,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002820018,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002839208,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002868496,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002875566,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002878594,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002879600,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002900810,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002914951,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002935162,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002951326,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002961424,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002987684,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0002990712,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0003565737,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390118819,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390124874,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390152180,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390179456,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390192582,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390219856,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390246156,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390258276,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390268374,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390280494,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390313824,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390361336,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0390370428,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE0974485170,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6340805124,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6346407859,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6356415057,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6367770110,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6368425847,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6370366856,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6370715466,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6371080233,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6372053262,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6374405502,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6374451969,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6375076427,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6375183520,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6375184536,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800X3Q9LSAKRUWY91,BE6375901913,True,True,213800X3Q9LSAKRUWY91,KBC Groep NV,Belgium,2,0.011627
213800YOEO5OQ72G2R82,GB0007188757,True,True,213800YOEO5OQ72G2R82,Rio Tinto PLC,United Kingdom,4,2.4
213800YPC42DYBKVPF97,GB00BMBVGQ36,True,True,213800YPC42DYBKVPF97,Harbour Energy PLC,United Kingdom,7,1.134125
213800YUBJMZYR1SNG35,GRS298343005,True,True,213800YUBJMZYR1SNG35,HELLENiQ ENERGY Holdings SA,Greece,7,3.5074999999999994
213800ZPSC7XUVD3NL94,GB00BGHVZM47,True,True,213800ZPSC7XUVD3NL94,SDCL Energy Efficiency Income Trust PLC,United Kingdom,2,2.0
21TPXMRRHFKOBHDC8J74,US15189T1079,True,True,21TPXMRRHFKOBHDC8J74,CenterPoint Energy Inc,United States,7,6.5
21TPXMRRHFKOBHDC8J74,US15189T2069,True,True,21TPXMRRHFKOBHDC8J74,CenterPoint Energy Inc,United States,7,6.5
21TPXMRRHFKOBHDC8J74,US15189T3059,True,True,21TPXMRRHFKOBHDC8J74,CenterPoint Energy Inc,United States,7,6.5
21TPXMRRHFKOBHDC8J74,US15189T4040,True,True,21TPXMRRHFKOBHDC8J74,CenterPoint Energy Inc,United States,7,6.5
21TPXMRRHFKOBHDC8J74,US15189T5039,True,True,21TPXMRRHFKOBHDC8J74,CenterPoint Energy Inc,United States,7,6.5
21TPXMRRHFKOBHDC8J74,US15189T6029,True,True,21TPXMRRHFKOBHDC8J74,CenterPoint Energy Inc,United States,7,6.5
21TPXMRRHFKOBHDC8J74,US37244E1073,True,True,21TPXMRRHFKOBHDC8J74,CenterPoint Energy Inc,United States,7,6.5
21TPXMRRHFKOBHDC8J74,US37244E2063,True,True,21TPXMRRHFKOBHDC8J74,CenterPoint Energy Inc,United States,7,6.5
2549003PBEDCSZMZIY02,US69318G1067,True,True,2549003PBEDCSZMZIY02,PBF Energy Inc,United States,3,3.0
2549003PBEDCSZMZIY02,US69318G2057,True,True,2549003PBEDCSZMZIY02,PBF Energy Inc,United States,3,3.0
254900DP080RU6OK2553,US36828A1016,True,True,254900DP080RU6OK2553,GE Vernova Inc,United States,1,1.0
254900EICTYTCHA5X705,US6439262071,True,True,254900EICTYTCHA5X705,New Fortress Energy Inc,United States,3,2.4
254900EICTYTCHA5X705,US6443931000,True,True,254900EICTYTCHA5X705,New Fortress Energy Inc,United States,3,2.4
254900EICTYTCHA5X705,US6443933089,True,True,254900EICTYTCHA5X705,New Fortress Energy Inc,United States,3,2.4
254900GKEQRHOI2SSC19,US40609P1057,True,True,254900GKEQRHOI2SSC19,Hallador Energy Co,United States,1,1.0
254900LMFT1CY9IYB476,US03769M1062,True,True,254900LMFT1CY9IYB476,Apollo Global Management Inc,United States,2,2.0
254900LMFT1CY9IYB476,US03769M2052,True,True,254900LMFT1CY9IYB476,Apollo Global Management Inc,United States,2,2.0
254900LMFT1CY9IYB476,US03769M3043,True,True,254900LMFT1CY9IYB476,Apollo Global Management Inc,United States,2,2.0
254900RHL9MEUS5NKX63,US65339F1012,True,True,254900RHL9MEUS5NKX63,NextEra Energy Inc,United States,52,47.548
254900RHL9MEUS5NKX63,US65339F2002,True,True,254900RHL9MEUS5NKX63,NextEra Energy Inc,United States,52,47.548
254900WW0FDCKAOCKE74,US1653031088,True,True,254900WW0FDCKAOCKE74,Chesapeake Utilities Corp,United States,3,3.0
2572IBTT8CCZW6AU4141,US3757661026,True,True,2572IBTT8CCZW6AU4141,The Procter & Gamble Co,United States,3,3.0
2572IBTT8CCZW6AU4141,US7427181091,True,True,2572IBTT8CCZW6AU4141,The Procter & Gamble Co,United States,3,3.0
2572IBTT8CCZW6AU4141,US7427182081,True,True,2572IBTT8CCZW6AU4141,The Procter & Gamble Co,United States,3,3.0
2572IBTT8CCZW6AU4141,US7427183071,True,True,2572IBTT8CCZW6AU4141,The Procter & Gamble Co,United States,3,3.0
2572IBTT8CCZW6AU4141,US7427184061,True,True,2572IBTT8CCZW6AU4141,The Procter & Gamble Co,United States,3,3.0
2572IBTT8CCZW6AU4141,US7427185050,True,True,2572IBTT8CCZW6AU4141,The Procter & Gamble Co,United States,3,3.0
2NUNNB7D43COUIRE5295,US00130H1059,True,True,2NUNNB7D43COUIRE5295,AES Corp,United States,42,32.767489999999995
2NUNNB7D43COUIRE5295,US00130H2040,True,True,2NUNNB7D43COUIRE5295,AES Corp,United States,42,32.767489999999995
2NUNNB7D43COUIRE5295,US00130H3030,True,True,2NUNNB7D43COUIRE5295,AES Corp,United States,42,32.767489999999995
2NUNNB7D43COUIRE5295,US00130H4020,True,True,2NUNNB7D43COUIRE5295,AES Corp,United States,42,32.767489999999995
2NUNNB7D43COUIRE5295,US00130H5019,True,True,2NUNNB7D43COUIRE5295,AES Corp,United States,42,32.767489999999995
2NUNNB7D43COUIRE5295,US00130H6009,True,True,2NUNNB7D43COUIRE5295,AES Corp,United States,42,32.767489999999995
2T3D6M0JSY48PSZI1Q41,US6826801036,True,True,2T3D6M0JSY48PSZI1Q41,ONEOK Inc,United States,39,29.950000000000003
2T3D6M0JSY48PSZI1Q41,US6826802026,True,True,2T3D6M0JSY48PSZI1Q41,ONEOK Inc,United States,39,29.950000000000003
2T3D6M0JSY48PSZI1Q41,US6826803016,True,True,2T3D6M0JSY48PSZI1Q41,ONEOK Inc,United States,39,29.950000000000003
2T3D6M0JSY48PSZI1Q41,US6826805094,True,True,2T3D6M0JSY48PSZI1Q41,ONEOK Inc,United States,39,29.950000000000003
2W8N8UU78PMDQKZENC08,IT0000072618,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0000966017,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0001200390,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0001205589,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0001221966,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0001334397,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0001479143,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0003008320,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0003186274,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0003186761,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0003219315,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0004243769,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0004243793,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0004243801,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0004243835,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0004452311,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0004615958,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0004692791,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0004762537,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0004929839,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005009722,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005136251,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005136269,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005215147,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005243065,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005259988,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005276008,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005276016,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005283491,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005320541,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005320558,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005320566,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005320574,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
2W8N8UU78PMDQKZENC08,IT0005320665,True,True,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001
