entity_id,name,hq,n_assets,lookthrough_assets,lei,permid,cik,has_lei,has_cik,has_permid,gleif_status,gleif_category
E100000002988,Entergy Louisiana LLC,United States,27,25.64,0V5453U14HDZO63CGH17,5047103934,,True,False,True,ACTIVE,GENERAL
E100000000766,Equinor ASA,Norway,27,13.759999999999998,OW6OFBNCKXC4US5C7523,4295885689,,True,False,True,ACTIVE,GENERAL
E100000000476,Public Power Corporation SA,Greece,27,27.0,213800T9Y5XCOVRZ4Y57,4295870585,,True,False,True,ACTIVE,GENERAL
E100000001278,PPL Corp,United States,26,24.79,9N3UAJSNOUXFKQLF3V18,4295912225,922224.0,True,True,True,ACTIVE,GENERAL
E100001000400,Glencore PLC,Switzerland,24,18.34705,2138002658CPO9NBH955,5034844193,,True,False,True,ACTIVE,GENERAL
E100000000602,A2A SpA,Italy,24,23.0,81560076E3944316DB24,5000005309,,True,False,True,ACTIVE,GENERAL
E100001000649,Cleveland-Cliffs Inc,United States,23,22.853,549300TM2WLI2BJMDD86,4295903753,764065.0,True,True,True,ACTIVE,GENERAL
E100000131246,Alpha Metallurgical Resources Inc,United States,23,23.0,254900VEBGZO2PY8R678,5051761058,1704715.0,True,True,True,ACTIVE,GENERAL
E100000000975,Iberdrola SA,Spain,23,21.5,5QK37QC7NWOJ8D7WVQ45,4295889602,,True,False,True,ACTIVE,GENERAL
E100000001209,Entergy Corp,United States,22,17.65,4XM3TW50JULSLG8BNC79,4295903931,65984.0,True,True,True,ACTIVE,GENERAL
E100000000369,Stora Enso Oyj,Finland,22,15.129188,7437000ZP669LKUTZ738,4295866448,,True,False,True,ACTIVE,GENERAL
E100000003523,Mainova AG,Germany,21,7.879195530367999,529900V3S3C2QZPTD593,4295869544,,True,False,True,ACTIVE,GENERAL
E100000001534,JPMorgan Chase & Co Corp,United States,21,5.145192,8I5DZWZKVSZI1NUHU748,5000021791,19617.0,True,True,True,ACTIVE,GENERAL
E100000001135,Alliant Energy Corp,United States,21,17.630000000000003,5493009ML300G373MZ12,4295911995,352541.0,True,True,True,ACTIVE,GENERAL
E100000002899,Edison SpA,Italy,21,19.25,529900WS2E20BA5J4L49,4295875687,,True,False,True,ACTIVE,GENERAL
E100000000372,UPM-Kymmene Oyj,Finland,20,15.900184,213800EC6PW5VU4J9U64,4295866353,,True,False,True,ACTIVE,GENERAL
E100000001123,SSE PLC,United Kingdom,20,16.5,549300KI75VYLLMSK856,4295894191,,True,False,True,ACTIVE,GENERAL
E100001014841,Williams Companies Inc,United States,20,17.608,D71FAKCBLFS2O0RBPG08,4295905343,107263.0,True,True,True,ACTIVE,GENERAL
E100001010181,Nucor Corp,United States,20,19.51,549300GGJCRSI2TIEJ46,4295904636,73309.0,True,True,True,ACTIVE,GENERAL
E100001011985,Hawaiian Electric Industries Inc,United States,19,19.0,JJ8FWOCWCV22X7GUPJ23,4295903153,354707.0,True,True,True,ACTIVE,GENERAL
E100001015054,MPLX LP,United States,19,10.928999999999998,5493000CZJ19CK4P3G36,5037631789,1552000.0,True,True,True,ACTIVE,GENERAL
E100002002419,Vicat SA,France,19,18.057,9695009YI1863TOVDP79,4295868605,,True,False,True,ACTIVE,GENERAL
E100000000428,Munich RE AG,Germany,19,2.51515,529900MUF4C20K50JS49,4295868986,,True,False,True,ACTIVE,GENERAL
E100001000402,Peabody Energy Corp,United States,19,15.45604,EJCO258LNNVSKAR2JX59,4295899655,1064728.0,True,True,True,ACTIVE,GENERAL
E100000001164,CMS Energy Corp,United States,19,16.93,549300IA9XFBAGNIBW29,4295903636,811156.0,True,True,True,ACTIVE,GENERAL
E100000000980,Repsol SA,Spain,18,12.998,BSYCX13Y0NOTV14V9N85,4295889563,,True,False,True,ACTIVE,GENERAL
E100000152192,Partners Group Holding AG,Switzerland,18,18.0,549300I3IVVWZWDHI788,5000073739,,True,False,True,ACTIVE,GENERAL
E100000001270,Occidental Petroleum Corp,United States,18,5.696000000000001,IM7X0T3ECJW4C1T7ON55,4295904645,797468.0,True,True,True,ACTIVE,GENERAL
E100000000030,Verbund AG,Austria,18,7.179721999999998,5299006UDSEJCTTEJS30,4295859071,,True,False,True,ACTIVE,GENERAL
E100001014304,Loews Corp,United States,17,17.0,R8V1FN4M5ITGZOG7BS19,4295902026,60086.0,True,True,True,ACTIVE,GENERAL
E100001000641,Archer-Daniels-Midland Co,United States,17,17.0,549300LO13MQ9HYSTR83,4295903463,7084.0,True,True,True,ACTIVE,GENERAL
E100000001293,Sempra ,United States,17,12.629999999999995,PBBKGKLRK5S5C0Y4T545,4295904901,1032208.0,True,True,True,ACTIVE,GENERAL
E100000000050,Solvay SA,Belgium,16,14.148,549300MMVL80RTBP3O28,4295859421,,True,False,True,ACTIVE,GENERAL
E100000001906,enercity AG,Germany,15,3.419195530368,549300YTRYZPM57T3319,4295870298,,True,False,True,ACTIVE,GENERAL
E100002005704,Titan Cement International SA,Belgium,15,13.239999999999998,213800H2CDP9I374WH83,5066579091,,True,False,True,ACTIVE,GENERAL
E100000000394,Allianz SE,Germany,14,2.4177100000000005,529900K9B0N5BT694847,4295870171,,True,False,True,ACTIVE,GENERAL
E100000001607,Ørsted A/S,Denmark,13,11.077,W9NG6WMZIYEU8VEDOG48,4296730041,,True,False,True,ACTIVE,GENERAL
E100000002718,Clearway Energy Inc,United States,13,11.0,549300LHAZ9HA9G3XC48,5040042118,1567683.0,True,True,True,ACTIVE,GENERAL
E100001010596,State Street Corp,United States,13,0.0294264,549300ZFEEJ2IP5VME73,4295904976,93751.0,True,True,True,ACTIVE,GENERAL
E100000132107,Ramaco Resources Inc,United States,12,12.0,5493001BYUI4TCQOPF70,5052790536,1687187.0,True,True,True,ACTIVE,GENERAL
E100000000426,MVV Energie AG,Germany,12,8.604,529900ISR2VNZV1C0T93,4295869756,,True,False,True,ACTIVE,GENERAL
E100000001384,Ares Management Corp,United States,12,8.356,529900JUV61FH7B8VW38,5000301936,1176948.0,True,True,True,ACTIVE,GENERAL
E100002001305,Associated British Foods PLC,United Kingdom,12,11.6,GBQKSY6W7G0OHCQ8OQ72,4295894968,,True,False,True,ACTIVE,GENERAL
E100000000375,Air Liquide SA,France,12,11.5,969500MMPQVHK671GT54,not found,,True,False,False,ACTIVE,GENERAL
E100001000638,Alliance Resource Partners LP,United States,12,11.88,529900T4Q5UPWOUFG783,4295902977,1086600.0,True,True,True,ACTIVE,GENERAL
E100002003558,Fomento de Construcciones y Contratas SA,Spain,12,11.6701,95980020140005178328,4295889371,,True,False,True,ACTIVE,GENERAL
E100000004212,thyssenkrupp AG,Germany,11,8.65,549300UDG16DOYUPR330,4295869754,,True,False,True,ACTIVE,GENERAL
E100000001157,Black Hills Corp,United States,11,8.722000000000001,3MGELCRSTNSAMJ962671,5001437405,1130464.0,True,True,True,ACTIVE,GENERAL
E100000000834,EDP SA,Portugal,11,8.95,529900CLC3WDMGI9VH80,4295886834,,True,False,True,ACTIVE,GENERAL
E100001000653,Core Natural Resources Inc,United States,11,11.0,549300YJCTPJBTK7IJ81,5056443584,1710366.0,True,True,True,ACTIVE,GENERAL
E100000000027,OMV AG,Austria,11,2.088,549300V62YJ9HTLRI486,4295859007,,True,False,True,ACTIVE,GENERAL
E100000150310,NorthWestern Energy Group Inc,United States,11,7.51,254900N1WG46G1VMDM34,5086723853,1993004.0,True,True,True,ACTIVE,GENERAL
E100001010315,Salzgitter AG,Germany,11,8.899999999999999,529900E12Z6HXIMHFA15,4295869182,,True,False,True,ACTIVE,GENERAL
E100001015599,Sunoco LP,United States,11,11.0,54930001NJU8E40NQ561,5037627752,1552275.0,True,True,True,ACTIVE,GENERAL
E100000000395,BASF SE,Germany,11,6.788100000000001,529900PM64WH8AF1E917,4295869198,,True,False,True,ACTIVE,GENERAL
E100002004300,Brookfield Asset Management Ltd,United States,10,5.5,549300CZ84WPNJZKY093,5073777894,1937926.0,True,True,True,ACTIVE,GENERAL
E100000001114,Mondi PLC,United Kingdom,10,10.0,213800LOZA69QFDC9N34,4295898932,,True,False,True,ACTIVE,GENERAL
E100001000124,Ence Energía y Celulosa SA,Spain,10,7.06,95980020140005309084,4295889570,,True,False,True,ACTIVE,GENERAL
E100000001734,Westlake Corp,United States,10,9.5,GOXNEVUM0LL78B1OS344,4295900037,1262823.0,True,True,True,ACTIVE,GENERAL
E100001001070,Billerud AB,Sweden,9,9.0,549300YJUYJ9A24RXL71,4295890183,,True,False,True,ACTIVE,GENERAL
E100002005937,Cementos Molins SA,Spain,9,6.656000000000001,959800JRJW1CZ63R8P20,4295889414,,True,False,True,ACTIVE,GENERAL
E100000001254,Marathon Petroleum Corp,United States,9,3.942,3BNYRYQHD39K4LCKQF12,5001438555,1510295.0,True,True,True,ACTIVE,GENERAL
E100000001235,IDACORP Inc,United States,9,5.6530000000000005,N134NUJDWN8UEFA8B673,4295904215,1057877.0,True,True,True,ACTIVE,GENERAL
