subject,party,party_name,bucket,residual
E100001001276,E100002016095,Dynegy Resources Generating Holdco,build-out,False
E100001015821,E100001015114,Tallgrass Energy,build-out,False
E100002022084,E100000000648,Kyushu Electric Power,build-out,False
E100002006306,E100000179513,Anhui Conch Cement,build-out,False
E100002006343,E100001015587,small shareholder(s),build-out,True
E100002016620,E100002016631,Capline,build-out,False
E100002005575,E100001015587,small shareholder(s),build-out,True
E100002020086,E100000000112,Enbridge,build-out,False
E100002001297,E100001000520,Life Insurance Corporation of India,build-out,False
E100002020549,E100000123261,natural person(s),build-out,True
E100000004141,E100002016280,Inversiones René Fernández Weisser EIRL,build-out,False
E100002006868,E100002005912,CG Cement Global,build-out,False
E100002006922,E100002006924,Fossil Mines,build-out,False
E100002004539,E100001015587,small shareholder(s),build-out,True
E100001015202,E100000000669,National Company KazMunayGas,build-out,False
E100002007107,E100002007108,Asamar Libya,build-out,False
E100002017012,E100002017687,Paprec Uk,build-out,False
E100001011585,E100001015587,small shareholder(s),build-out,True
E100001011149,E100002011840,Mesco Denmark,build-out,False
E100000131741,E100001010053,State of Jharkand,build-out,False
E100002004998,E100002004999,Holding Company for Chemical Industries,build-out,False
E100002019820,E100000004318,W.E. Power,build-out,False
E100002010789,E100001015587,small shareholder(s),build-out,True
E100001015404,E100001014874,NGL Energy Partners,build-out,False
E100002006236,E100002006237,Hong Leong Investment Holdings,build-out,False
E100002015096,E100002016731,Stadtreinigung Hamburg AÖR,build-out,False
E100001014229,E100002017453,Fluxys International,build-out,False
E100002007015,E100002007017,Al Rashed Trade & Industry,build-out,False
E100002017479,E100000001043,Univentures,build-out,False
E100001000208,E100001010596,State Street,build-out,False
E100000003056,E100000001223,General Electric,build-out,False
E100000130841,E100002002825,Sandur Manganese and Iron Ores,build-out,False
E100002007440,E100002007445,Societe Generale Des Travaux Du Maroc,build-out,False
E100002022273,E100002022987,Marianne and Marcus Wallenberg Foundation,build-out,False
E100001014645,E100001010595,The Vanguard Group,build-out,False
E100000190120,E100002025116,ISBG,build-out,False
E100002024932,E100002024977,Azizi Group,build-out,False
E100001011267,E100000001179,Chevron,build-out,False
E100001001220,E100000002206,City of Colorado Springs (Colorado),build-out,False
E100002002419,E100001015587,small shareholder(s),build-out,True
E100002017066,E100000123261,natural person(s),build-out,True
