entity_id,coal_mw,gas_mw,bio_mw,vintage,blank_rule,name,fossil_mw,thermal_mw,fossil_share,coal_share
E100000000718,0.0,516.2,0.0,March 2025,zero,Grupo México,516.2,516.2,1.0,0.0
E100000000735,0.0,573.0,0.0,March 2025,zero,Akzo Nobel,573.0,573.0,1.0,0.0
E100000000741,0.0,54.12,0.0,March 2025,zero,LyondellBasell Industries,54.12,54.12,1.0,0.0
E100000000746,0.0,3092.32,0.0,March 2025,zero,Shell,3092.32,3092.32,1.0,0.0
E100000000747,32.0,112.0,0.0,March 2025,zero,Stellantis,144.0,144.0,1.0,0.2222222222222222
E100000000759,0.0,96.0,0.0,March 2025,zero,Oando,96.0,96.0,1.0,0.0
E100000000766,0.0,1161.0,0.0,March 2025,zero,Equinor,1161.0,1161.0,1.0,0.0
E100000000773,0.0,0.0,0.0,March 2025,zero,Wärtsilä,0.0,0.0,,
E100000000774,0.0,68.0,0.0,March 2025,zero,Yara International,68.0,68.0,1.0,0.0
E100000000776,0.0,164.0,0.0,March 2025,zero,Dhofar International Development & Investment Holding Company,164.0,164.0,1.0,0.0
E100000000805,0.0,249.85,0.0,March 2025,zero,ACEN,249.85,249.85,1.0,0.0
E100000000808,160.32,0.0,0.0,March 2025,zero,Ayala,160.32,160.32,1.0,1.0
E100000000810,0.0,2058.88,0.0,March 2025,zero,First Generation Holdings,2058.88,2058.88,1.0,0.0
E100000000813,838.82,0.0,0.0,March 2025,zero,Manila Electric,838.82,838.82,1.0,1.0
E100000000815,1261.48,1251.0,0.0,March 2025,zero,San Miguel,2512.48,2512.48,1.0,0.502085588741005
E100000000817,134.0,235.2,0.0,March 2025,zero,Vivant,369.2,369.2,1.0,0.3629469122426869
E100000000818,0.0,21.0,0.0,March 2025,zero,Arctic Paper,21.0,21.0,1.0,0.0
E100000000824,0.0,49.5,0.0,March 2025,zero,KGHM Polska Miedź,49.5,49.5,1.0,0.0
E100000000826,9526.4,2250.0,68.0,March 2025,zero,Polska Grupa Energetyczna,11776.4,11844.4,0.9942588902772618,0.8089399137257566
E100000000827,700.42,1121.46,0.0,March 2025,zero,ORLEN,1821.88,1821.88,1.0,0.3844490306716139
E100000000828,0.0,129.0,0.0,March 2025,zero,Polenergia,129.0,129.0,1.0,0.0
