entity_id,status
E100000131349,in old vintage only
E100000131351,in old vintage only
E100000131364,in old vintage only
E100000131367,in old vintage only
E100000131373,in old vintage only
E100000131382,in old vintage only
E100000131384,in old vintage only
E100000131395,in old vintage only
E100000131401,in old vintage only
E100000131405,in old vintage only
E100000131408,in old vintage only
E100000131415,in old vintage only
E100000131416,in old vintage only
E100000131420,in old vintage only
E100000131422,in old vintage only
E100000131423,in old vintage only
E100000131448,in old vintage only
E100000131450,in old vintage only
E100000131451,in old vintage only
E100000131457,in old vintage only
E100000131463,in old vintage only
E100000131464,in old vintage only
E100000131469,in old vintage only
E100000131480,in old vintage only
E100000131487,in old vintage only
E100000131492,in old vintage only
E100000131499,in old vintage only
E100000131505,in old vintage only
E100000131514,in old vintage only
E100000131526,in old vintage only
E100000131528,in old vintage only
E100000131535,in old vintage only
E100000131538,in old vintage only
E100000131545,in old vintage only
E100000131548,in old vintage only
E100000131555,in old vintage only
E100000131556,in old vintage only
E100000131560,in old vintage only
E100000131561,in old vintage only
E100000131565,in old vintage only
E100000131575,in old vintage only
E100000131582,in old vintage only
E100000131595,in old vintage only
E100000131599,in old vintage only
E100000131603,in old vintage only
E100000131614,in old vintage only
E100000131626,in old vintage only
E100000131630,in old vintage only
E100000131643,in old vintage only
E100000131644,in old vintage only
E100000131646,in old vintage only
E100000131651,in old vintage only
E100000131653,in old vintage only
E100000131657,in old vintage only
E100000131665,in old vintage only
E100000131679,in old vintage only
E100000131682,in old vintage only
E100000131683,in old vintage only
E100000131694,in old vintage only
E100000131701,in old vintage only
E100000131703,in old vintage only
E100000131704,in old vintage only
E100000131707,in old vintage only
E100000131713,in old vintage only
E100000131718,in old vintage only
E100000131726,in old vintage only
E100000131727,in old vintage only
E100000131732,in old vintage only
E100000131734,in old vintage only
E100000131738,in old vintage only
E100000131742,in old vintage only
E100000131745,in old vintage only
E100000131764,in old vintage only
E100000131770,in old vintage only
E100000131774,in old vintage only
E100000131775,in old vintage only
E100000131776,in old vintage only
E100000131782,in old vintage only
E100000131784,in old vintage only
E100000131792,in old vintage only
E100000131798,in old vintage only
E100000131799,in old vintage only
E100000131813,in old vintage only
E100000131830,in old vintage only
E100000131831,in old vintage only
E100000131838,in old vintage only
E100000131843,in old vintage only
E100000131852,in old vintage only
E100000131872,in old vintage only
E100000131877,in old vintage only
E100000131879,in old vintage only
E100000131881,in old vintage only
E100000131891,in old vintage only
E100000131892,in old vintage only
E100000131897,in old vintage only
E100000131909,in old vintage only
E100000131923,in old vintage only
E100000131939,in old vintage only
E100000131942,in old vintage only
E100000131946,in old vintage only
E100000131950,in old vintage only
E100000131957,in old vintage only
E100000131959,in old vintage only
E100000131970,in old vintage only
E100000131987,in old vintage only
E100000131990,in old vintage only
E100000131997,in old vintage only
E100000131999,in old vintage only
E100000132006,in old vintage only
E100000132011,in old vintage only
E100000132018,in old vintage only
E100000132024,in old vintage only
E100000132028,in old vintage only
E100000132044,in old vintage only
E100000132050,in old vintage only
E100000132053,in old vintage only
E100000132068,in old vintage only
E100000132073,in old vintage only
E100000132074,in old vintage only
E100000132077,in old vintage only
E100000132078,in old vintage only
E100000132081,in old vintage only
E100000132082,in old vintage only
E100000132092,in old vintage only
E100000132093,in old vintage only
E100000132101,in old vintage only
E100000132102,in old vintage only
E100000132106,in old vintage only
E100000132115,in old vintage only
E100000132117,in old vintage only
E100000132121,in old vintage only
E100000132126,in old vintage only
E100000132127,in old vintage only
E100000132130,in old vintage only
E100000132132,in old vintage only
E100000132133,in old vintage only
E100000132137,in old vintage only
E100000132145,in old vintage only
E100000132146,in old vintage only
E100000132161,in old vintage only
E100000132168,in old vintage only
E100000132170,in old vintage only
E100000132176,in old vintage only
E100000132188,in old vintage only
E100000132204,in old vintage only
E100000132214,in old vintage only
E100000132217,in old vintage only
E100000132219,in old vintage only
E100000132228,in old vintage only
E100000132230,in old vintage only
E100000132233,in old vintage only
E100000132236,in old vintage only
E100000132239,in old vintage only
E100000132258,in old vintage only
E100000132261,in old vintage only
E100000132264,in old vintage only
E100000132301,in old vintage only
E100000132302,in old vintage only
E100000132311,in old vintage only
E100000132327,in old vintage only
E100000132331,in old vintage only
E100000132332,in old vintage only
E100000132343,in old vintage only
E100000132345,in old vintage only
E100000132346,in old vintage only
E100000132353,in old vintage only
E100000132354,in old vintage only
E100000132356,in old vintage only
E100000132357,in old vintage only
E100000132366,in old vintage only
E100000132370,in old vintage only
E100000132375,in old vintage only
E100000132378,in old vintage only
E100000132379,in old vintage only
E100000132405,in old vintage only
E100000132474,in old vintage only
E100000132475,in old vintage only
E100000132526,in old vintage only
E100000132565,in old vintage only
E100000132571,in old vintage only
E100000132616,in old vintage only
